"Market Name","Date","Sales","Sales YoY%","Dollar Volume","Dollar Volume YoY%","Average Price","Median Price","Active Listings EOM","Months Inventory"
"Houston-Pasadena-The Woodlands","2026-06-01","8900","0.04560","4038153333","0.05470","453725","344000","39499","5.32"
"Houston-Pasadena-The Woodlands","2026-05-01","8580","-0.04170","3825523655","-0.02220","445865","339000","38472","5.2"
"Houston-Pasadena-The Woodlands","2026-04-01","8138","0.03200","3482603099","0.01110","427943","331900","37237","5.02"
"Houston-Pasadena-The Woodlands","2026-03-01","7565","0.02380","3203536759","0.01200","423468","330000","35517","4.8"
"Houston-Pasadena-The Woodlands","2026-02-01","5890","-0.03440","2485662131","-0.00230","422013","324000","34891","4.72"
"Houston-Pasadena-The Woodlands","2026-01-01","4944","-0.03850","2054726726","-0.01820","415600","323205","34397","4.64"
"Houston-Pasadena-The Woodlands","2025-12-01","7599","0.04100","3190471162","0.02640","419854","330000","33389","4.5"
"Houston-Pasadena-The Woodlands","2025-11-01","6294","-0.03560","2653754901","-0.03070","421632","325000","36511","4.94"
"Houston-Pasadena-The Woodlands","2025-10-01","7483","0.02660","3141376111","0.01500","419801","329995","38120","5.14"
"Houston-Pasadena-The Woodlands","2025-09-01","7438","0.05590","3125465423","0.07120","420202","325990","38196","5.16"
"Houston-Pasadena-The Woodlands","2025-08-01","7972","0.08700","3363426517","0.09370","421904","335000","39132","5.31"
"Houston-Pasadena-The Woodlands","2025-07-01","8295","0.07800","3591015994","0.05910","432913","338500","39861","5.45"
"Houston-Pasadena-The Woodlands","2025-06-01","8512","0.09780","3828560588","0.14450","449783","345000","38466","5.29"
"Houston-Pasadena-The Woodlands","2025-05-01","8953","0.03710","3912550261","0.02680","437009","336388","37230","5.17"
"Houston-Pasadena-The Woodlands","2025-04-01","7886","-0.01940","3444414643","-0.01960","436775","338000","34739","4.84"
"Houston-Pasadena-The Woodlands","2025-03-01","7389","0.00110","3165705229","0.04130","428434","336000","32531","4.53"
"Houston-Pasadena-The Woodlands","2025-02-01","6100","-0.03530","2491339529","-0.01140","408416","325000","30743","4.28"
"Houston-Pasadena-The Woodlands","2025-01-01","5142","0.00840","2092853243","0.05360","407011","325000","29775","4.13"
"Houston-Pasadena-The Woodlands","2024-12-01","7300","0.16480","3108463487","0.22580","425816","334990","28431","3.95"
"Houston-Pasadena-The Woodlands","2024-11-01","6526","0.03700","2737879077","0.07770","419534","329000","30574","4.3"
"Houston-Pasadena-The Woodlands","2024-10-01","7289","0.12760","3094862686","0.18870","424593","335000","30771","4.34"
"Houston-Pasadena-The Woodlands","2024-09-01","7044","-0.00010","2917849401","0.00570","414231","335000","30184","4.3"
"Houston-Pasadena-The Woodlands","2024-08-01","7334","-0.10570","3075181630","-0.09850","419304","335995","30306","4.31"
"Houston-Pasadena-The Woodlands","2024-07-01","7695","-0.00630","3390607006","0.03710","440624","350000","28998","4.09"
"Houston-Pasadena-The Woodlands","2024-06-01","7754","-0.13680","3345087274","-0.12260","431401","346528","29368","4.14"
"Houston-Pasadena-The Woodlands","2024-05-01","8633","-0.02330","3810311984","0.01530","441365","343995","27783","3.86"
"Houston-Pasadena-The Woodlands","2024-04-01","8042","0.07770","3513227526","0.12570","436859","340000","25592","3.54"
"Houston-Pasadena-The Woodlands","2024-03-01","7381","-0.08670","3040189300","-0.07830","411893","329995","24183","3.37"
"Houston-Pasadena-The Woodlands","2024-02-01","6323","0.06360","2520189059","0.10780","398574","329350","23294","3.22"
"Houston-Pasadena-The Woodlands","2024-01-01","5099","0.08840","1986411192","0.12230","389568","320000","22705","3.15"
"Houston-Pasadena-The Woodlands","2023-12-01","6267","-0.05250","2535962267","-0.05050","404653","329000","22649","3.16"
"Houston-Pasadena-The Woodlands","2023-11-01","6293","0.05080","2540523371","0.06410","403706","325000","24362","3.39"
"Houston-Pasadena-The Woodlands","2023-10-01","6464","-0.05570","2603625146","-0.04670","402788","327087","24177","3.37"
"Houston-Pasadena-The Woodlands","2023-09-01","7045","-0.11150","2901412170","-0.10630","411839","330000","23612","3.28"
"Houston-Pasadena-The Woodlands","2023-08-01","8201","-0.04230","3411274040","-0.01700","415958","335400","22603","3.11"
"Houston-Pasadena-The Woodlands","2023-07-01","7744","-0.08740","3269217314","-0.08450","422161","340000","21733","2.97"
"Houston-Pasadena-The Woodlands","2023-06-01","8983","-0.11600","3812648513","-0.12750","424429","340000","21158","2.87"
"Houston-Pasadena-The Woodlands","2023-05-01","8839","-0.12110","3753004984","-0.13910","424596","338000","19209","2.57"
"Houston-Pasadena-The Woodlands","2023-04-01","7462","-0.20410","3120983594","-0.21030","418250","330390","18815","2.49"
"Houston-Pasadena-The Woodlands","2023-03-01","8082","-0.20230","3298617366","-0.19560","408143","325000","19123","2.47"
"Houston-Pasadena-The Woodlands","2023-02-01","5945","-0.23490","2274922612","-0.25410","382661","318000","19055","2.41"
"Houston-Pasadena-The Woodlands","2023-01-01","4685","-0.30450","1770017260","-0.29750","377805","310000","19916","2.47"
"Houston-Pasadena-The Woodlands","2022-12-01","6614","-0.33370","2670703637","-0.30340","403795","330000","20669","2.51"
"Houston-Pasadena-The Woodlands","2022-11-01","5989","-0.31640","2387411844","-0.28160","398632","330000","22463","2.64"
"Houston-Pasadena-The Woodlands","2022-10-01","6845","-0.23550","2731211009","-0.18280","399008","328000","22799","2.61"
"Houston-Pasadena-The Woodlands","2022-09-01","7929","-0.17530","3246652470","-0.08470","409465","339745","22279","2.5"
"Houston-Pasadena-The Woodlands","2022-08-01","8563","-0.17610","3470368421","-0.11120","405274","339000","21069","2.33"
"Houston-Pasadena-The Woodlands","2022-07-01","8486","-0.19900","3570771346","-0.12050","420783","345000","20926","2.28"
"Houston-Pasadena-The Woodlands","2022-06-01","10162","-0.08790","4369613895","0.00640","429995","350050","17478","1.86"
"Houston-Pasadena-The Woodlands","2022-05-01","10057","-0.01510","4359524773","0.11730","433481","350000","13513","1.43"
"Houston-Pasadena-The Woodlands","2022-04-01","9376","-0.05570","3952102313","0.08490","421512","340000","12051","1.27"
"Houston-Pasadena-The Woodlands","2022-03-01","10131","0.03500","4100612260","0.14730","404758","330000","10767","1.13"
"Houston-Pasadena-The Woodlands","2022-02-01","7770","0.23730","3050044056","0.40190","392541","325000","10800","1.14"
"Houston-Pasadena-The Woodlands","2022-01-01","6736","0.07020","2519427210","0.24210","374024","307090","11677","1.25"
"Houston-Pasadena-The Woodlands","2021-12-01","9927","-0.01470","3833682679","0.10620","386187","315985","12663","1.36"
"Houston-Pasadena-The Woodlands","2021-11-01","8761","0.05170","3323348675","0.18280","379334","310000","14205","1.52"
"Houston-Pasadena-The Woodlands","2021-10-01","8954","-0.05630","3341975344","0.06240","373238","304000","15583","1.68"
"Houston-Pasadena-The Woodlands","2021-09-01","9614","0.02110","3547070107","0.15720","368948","300000","16080","1.72"
"Houston-Pasadena-The Woodlands","2021-08-01","10393","0.09980","3904512569","0.25150","375686","305000","16398","1.76"
"Houston-Pasadena-The Woodlands","2021-07-01","10594","-0.04890","4060021088","0.08450","383237","305650","16212","1.75"
"Houston-Pasadena-The Woodlands","2021-06-01","11141","0.15620","4341784575","0.41610","389712","310000","13773","1.48"
"Houston-Pasadena-The Woodlands","2021-05-01","10211","0.51860","3901753932","0.94830","382112","300000","12229","1.33"
"Houston-Pasadena-The Woodlands","2021-04-01","9929","0.56980","3642913916","0.86130","366896","293000","12252","1.38"
